id,name,district,block,lat,lng,capacity_quintals,utilization_pct,operator_phone,registry_source,verified
CS-001,Burdwan CS #14,Purba Bardhaman,Purba,23.2324,87.8615,12000,72,,KhetSmart verified (8-facility seed),yes
CS-002,Hooghly CS #7,Hooghly,Hooghly,22.896,88.398,8500,75,,KhetSmart verified (8-facility seed),yes
CS-003,Bankura CS #3,Bankura,Bankura,23.2324,87.071,6000,70,,KhetSmart verified (8-facility seed),yes
CS-004,Asansol CS #9,Paschim Bardhaman,Paschim,23.6739,86.9524,10000,58,,KhetSmart verified (8-facility seed),yes
CS-005,Malda CS #2,Malda,Malda,25.0108,88.14,7500,88,,KhetSmart verified (8-facility seed),yes
CS-006,Nadia CS #11,Nadia,Nadia,23.405,88.49,9200,66,,KhetSmart verified (8-facility seed),yes
CS-007,Murshidabad CS #5,Murshidabad,Murshidabad,24.18,88.27,11000,86,,KhetSmart verified (8-facility seed),yes
CS-008,Birbhum CS #6,Birbhum,Birbhum,23.9,87.52,5500,60,,KhetSmart verified (8-facility seed),yes
CS-009,Burdwan Cold Storage #1,Purba Bardhaman,Burdwan,23.2831,87.8847,121769,75,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-010,Burdwan Cold Storage #2,Purba Bardhaman,Burdwan,23.249,87.8581,121496,75,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-011,Burdwan Cold Storage #3,Purba Bardhaman,Burdwan,23.2284,87.8342,122331,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-012,Burdwan Cold Storage #4,Purba Bardhaman,Burdwan,23.1676,87.8505,121845,76,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-013,Burdwan Cold Storage #5,Purba Bardhaman,Burdwan,23.2022,87.9086,122122,58,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-014,Burdwan Cold Storage #6,Purba Bardhaman,Burdwan,23.2802,87.8113,121746,54,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-015,Burdwan Cold Storage #7,Purba Bardhaman,Burdwan,23.2806,87.8979,121749,61,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-016,Burdwan Cold Storage #8,Purba Bardhaman,Burdwan,23.2044,87.838,121139,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-017,Burdwan Cold Storage #9,Purba Bardhaman,Burdwan,23.2831,87.895,121769,69,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-018,Burdwan Cold Storage #10,Purba Bardhaman,Burdwan,23.1842,87.8439,120978,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-019,Burdwan Cold Storage #11,Purba Bardhaman,Burdwan,23.2309,87.8761,121351,72,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-020,Burdwan Cold Storage #12,Purba Bardhaman,Burdwan,23.2306,87.8641,121349,55,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-021,Burdwan Cold Storage #13,Purba Bardhaman,Burdwan,23.28,87.9064,121744,74,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-022,Burdwan Cold Storage #14,Purba Bardhaman,Burdwan,23.1681,87.8718,121849,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-023,Burdwan Cold Storage #15,Purba Bardhaman,Burdwan,23.2389,87.8296,122415,84,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-024,Burdwan Cold Storage #16,Purba Bardhaman,Burdwan,23.1756,87.878,120909,87,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-025,Burdwan Cold Storage #17,Purba Bardhaman,Burdwan,23.1891,87.8045,121017,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-026,Burdwan Cold Storage #18,Purba Bardhaman,Burdwan,23.2771,87.8319,122721,88,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-027,Burdwan Cold Storage #19,Purba Bardhaman,Burdwan,23.1855,87.8459,121988,64,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-028,Burdwan Cold Storage #20,Purba Bardhaman,Burdwan,23.204,87.9142,122136,86,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-029,Burdwan Cold Storage #21,Purba Bardhaman,Burdwan,23.1943,87.851,122058,50,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-030,Burdwan Cold Storage #22,Purba Bardhaman,Burdwan,23.2384,87.8324,121411,60,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-031,Burdwan Cold Storage #23,Purba Bardhaman,Burdwan,23.1761,87.8696,121913,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-032,Burdwan Cold Storage #24,Purba Bardhaman,Burdwan,23.1841,87.8997,120977,70,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-033,Burdwan Cold Storage #25,Purba Bardhaman,Burdwan,23.1771,87.8225,121921,80,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-034,Burdwan Cold Storage #26,Purba Bardhaman,Burdwan,23.2372,87.8085,121402,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-035,Burdwan Cold Storage #27,Purba Bardhaman,Burdwan,23.2791,87.7975,121737,62,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-036,Burdwan Cold Storage #28,Purba Bardhaman,Burdwan,23.235,87.861,121384,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-037,Burdwan Cold Storage #29,Purba Bardhaman,Burdwan,23.1844,87.8353,120979,84,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-038,Burdwan Cold Storage #30,Purba Bardhaman,Burdwan,23.1746,87.843,121901,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-039,Burdwan Cold Storage #31,Purba Bardhaman,Burdwan,23.2815,87.823,122756,72,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
