Sl. No.,State/UT,Number of Cold Storages,Capacity (in MT)
1,Andhra Pradesh,1200,2100000
2,Assam,180,320000
3,Bihar,450,980000
4,Chhattisgarh,95,185000
5,Gujarat,890,4042770
6,Haryana,420,890000
7,Himachal Pradesh,210,410000
8,Jammu and Kashmir,85,165000
9,Jharkhand,120,245000
10,Karnataka,380,720000
11,Kerala,95,180000
12,Madhya Pradesh,520,1100000
13,Maharashtra,680,1450000
14,Odisha,200,380000
15,Punjab,620,2604206
16,Rajasthan,310,580000
17,Tamil Nadu,340,650000
18,Telangana,280,520000
19,West Bengal,517,5952997
20,Uttar Pradesh,1850,15096476
21,Uttarakhand,75,140000
22,Others,400,850000
